,Causa_Direta,Natureza,Interrupcao (h),Hora
533,Interferência de Terceiro,Abalroamento,0.3,10
534,Via Permanente,Descarrilamento,20.0,15
535,Interferência de Terceiro,Abalroamento,5.0,4
536,Interferência de Terceiro,Atropelamento,1.8,8
537,Interferência de Terceiro,Abalroamento,0.0,5
538,Casos Fortuitos ou de Força Maior,Colisão,0.0,9
539,Interferência de Terceiro,Abalroamento,3.0,10
540,Interferência de Terceiro,Abalroamento,0.7,17
541,Interferência de Terceiro,Atropelamento,2.0,23
542,Interferência de Terceiro,Abalroamento,2.0,2
543,Interferência de Terceiro,Atropelamento,1.5,5
544,Via Permanente,Descarrilamento,2.8,12
545,Interferência de Terceiro,Abalroamento,0.3,15
546,Falha Humana,Colisão,0.0,18
547,Via Permanente,Descarrilamento,49.7,1
548,Interferência de Terceiro,Abalroamento,0.6,21
549,Interferência de Terceiro,Atropelamento,1.9,4
550,Interferência de Terceiro,Abalroamento,0.8,10
551,Interferência de Terceiro,Atropelamento,0.0,18
552,Via Permanente,Descarrilamento,15.0,10
553,Interferência de Terceiro,Abalroamento,1.2,15
554,Interferência de Terceiro,Abalroamento,0.6,19
555,Interferência de Terceiro,Atropelamento,4.0,22
556,Interferência de Terceiro,Abalroamento,3.0,17
557,Interferência de Terceiro,Abalroamento,1.0,7
558,Interferência de Terceiro,Atropelamento,0.7,19
559,Interferência de Terceiro,Abalroamento,0.0,14
560,Via Permanente,Descarrilamento,24.0,14
561,Via Permanente,Descarrilamento,17.1,14
562,Interferência de Terceiro,Abalroamento,0.0,19
563,Interferência de Terceiro,Abalroamento,0.5,23
564,Material Rodante,Descarrilamento,0.0,9
565,Material Rodante,Descarrilamento,7.0,15
566,Interferência de Terceiro,Abalroamento,2.5,15
567,Interferência de Terceiro,Atropelamento,0.4,8
568,Interferência de Terceiro,Abalroamento,0.0,21
569,Interferência de Terceiro,Abalroamento,0.0,14
570,Interferência de Terceiro,Atropelamento,1.5,17
571,Interferência de Terceiro,Abalroamento,2.1,16
572,Interferência de Terceiro,Abalroamento,4.0,19
573,Material Rodante,Descarrilamento,8.0,9
574,Interferência de Terceiro,Atropelamento,0.5,13
575,Interferência de Terceiro,Abalroamento,0.2,14
576,Interferência de Terceiro,Abalroamento,0.0,20
577,Interferência de Terceiro,Atropelamento,0.0,0
578,Via Permanente,Descarrilamento,3.2,1
579,Interferência de Terceiro,Abalroamento,3.1,11
580,Interferência de Terceiro,Atropelamento,1.6,23
581,Via Permanente,Descarrilamento,50.8,14
582,Via Permanente,Descarrilamento,0.0,15
583,Interferência de Terceiro,Atropelamento,0.0,6
584,Interferência de Terceiro,Abalroamento,1.6,20
585,Via Permanente,Descarrilamento,4.0,4
586,Interferência de Terceiro,Atropelamento,1.1,4
587,Interferência de Terceiro,Abalroamento,1.5,16
588,Interferência de Terceiro,Atropelamento,0.0,1
589,Interferência de Terceiro,Abalroamento,0.8,18
590,Via Permanente,Descarrilamento,21.0,14
591,Interferência de Terceiro,Abalroamento,0.3,8
592,Interferência de Terceiro,Abalroamento,0.4,8
593,Interferência de Terceiro,Abalroamento,0.0,19
594,Interferência de Terceiro,Atropelamento,3.0,20
595,Interferência de Terceiro,Abalroamento,0.3,21
596,Via Permanente,Descarrilamento,4.0,9
597,Interferência de Terceiro,Abalroamento,1.3,7
598,Via Permanente,Descarrilamento,4.2,18
599,Interferência de Terceiro,Abalroamento,0.7,18
600,Interferência de Terceiro,Abalroamento,0.3,3
601,Falha Humana,Colisão,0.0,8
602,Interferência de Terceiro,Atropelamento,0.0,13
603,Via Permanente,Descarrilamento,24.0,0
604,Interferência de Terceiro,Abalroamento,0.2,9
605,Material Rodante,Descarrilamento,5.3,9
606,Interferência de Terceiro,Atropelamento,0.1,9
607,Interferência de Terceiro,Abalroamento,0.3,15
608,Casos Fortuitos ou de Força Maior,Colisão,0.0,18
609,Interferência de Terceiro,Abalroamento,3.0,14
610,Interferência de Terceiro,Abalroamento,1.5,12
611,Interferência de Terceiro,Atropelamento,1.8,12
612,Interferência de Terceiro,Abalroamento,0.8,8
613,Interferência de Terceiro,Abalroamento,0.8,11
614,Interferência de Terceiro,Abalroamento,1.1,13
615,Interferência de Terceiro,Abalroamento,0.7,16
616,Interferência de Terceiro,Abalroamento,1.5,14
617,Interferência de Terceiro,Abalroamento,1.4,19
618,Interferência de Terceiro,Abalroamento,2.8,6
619,Interferência de Terceiro,Abalroamento,0.3,11
620,Falha Humana,Abalroamento,0.5,12
621,Interferência de Terceiro,Atropelamento,1.6,7
622,Interferência de Terceiro,Abalroamento,0.0,11
623,Interferência de Terceiro,Abalroamento,1.9,7
624,Via Permanente,Descarrilamento,33.5,12
625,Interferência de Terceiro,Abalroamento,1.1,19
626,Via Permanente,Descarrilamento,0.0,20
627,Interferência de Terceiro,Abalroamento,0.2,20
628,Via Permanente,Descarrilamento,9.7,7
629,Casos Fortuitos ou de Força Maior,Descarrilamento,14.4,8
630,Interferência de Terceiro,Atropelamento,2.0,9
631,Interferência de Terceiro,Abalroamento,0.2,10
632,Interferência de Terceiro,Atropelamento,0.0,15
633,Via Permanente,Descarrilamento,4.0,19
634,Interferência de Terceiro,Abalroamento,0.1,18
635,Interferência de Terceiro,Atropelamento,0.0,19
636,Interferência de Terceiro,Abalroamento,3.0,19
637,Interferência de Terceiro,Abalroamento,0.6,18
638,Interferência de Terceiro,Abalroamento,1.4,11
639,Via Permanente,Descarrilamento,10.6,16
640,Interferência de Terceiro,Abalroamento,0.3,1
641,Material Rodante,Descarrilamento,2.0,16
642,Interferência de Terceiro,Abalroamento,0.4,19
643,Interferência de Terceiro,Abalroamento,0.8,0
644,Interferência de Terceiro,Descarrilamento,3.0,18
645,Interferência de Terceiro,Atropelamento,1.7,21
646,Interferência de Terceiro,Descarrilamento,5.9,22
647,Interferência de Terceiro,Abalroamento,0.7,15
648,Interferência de Terceiro,Abalroamento,3.1,11
649,Interferência de Terceiro,Atropelamento,0.2,21
650,Material Rodante,Incêndio,0.0,22
651,Interferência de Terceiro,Atropelamento,0.5,7
652,Interferência de Terceiro,Abalroamento,0.0,14
653,Interferência de Terceiro,Descarrilamento,0.0,14
654,Interferência de Terceiro,Atropelamento,0.5,22
655,Via Permanente,Descarrilamento,15.5,7
656,Interferência de Terceiro,Abalroamento,0.0,14
657,Interferência de Terceiro,Abalroamento,0.1,19
658,Interferência de Terceiro,Abalroamento,0.2,7
659,Via Permanente,Descarrilamento,21.0,7
660,Interferência de Terceiro,Abalroamento,0.3,12
661,Via Permanente,Descarrilamento,19.5,14
662,Interferência de Terceiro,Abalroamento,0.0,16
663,Via Permanente,Descarrilamento,9.1,9
664,Outras Causas,Descarrilamento,24.0,13
665,Interferência de Terceiro,Atropelamento,2.0,22
666,Interferência de Terceiro,Atropelamento,1.0,19
667,Interferência de Terceiro,Abalroamento,0.0,7
668,Interferência de Terceiro,Atropelamento,0.0,8
669,Interferência de Terceiro,Abalroamento,0.5,10
670,Material Rodante,Descarrilamento,0.0,18
671,Interferência de Terceiro,Atropelamento,0.0,23
672,Interferência de Terceiro,Atropelamento,4.6,2
673,Interferência de Terceiro,Atropelamento,0.5,19
674,Via Permanente,Descarrilamento,32.0,23
675,Via Permanente,Descarrilamento,23.2,11
676,Interferência de Terceiro,Abalroamento,0.3,19
677,Via Permanente,Descarrilamento,28.0,3
678,Interferência de Terceiro,Atropelamento,2.5,19
679,Via Permanente,Descarrilamento,6.3,23
680,Via Permanente,Descarrilamento,15.8,15
681,Via Permanente,Descarrilamento,10.0,0
682,Interferência de Terceiro,Atropelamento,0.2,0
683,Interferência de Terceiro,Abalroamento,0.1,18
684,Interferência de Terceiro,Abalroamento,0.9,20
685,Interferência de Terceiro,Atropelamento,0.2,9
686,Via Permanente,Descarrilamento,10.0,17
687,Via Permanente,Descarrilamento,9.4,5
688,Interferência de Terceiro,Atropelamento,2.4,18
689,Interferência de Terceiro,Atropelamento,3.1,19
690,Interferência de Terceiro,Abalroamento,0.7,19
691,Interferência de Terceiro,Abalroamento,0.0,20
692,Interferência de Terceiro,Abalroamento,0.0,3
693,Falha Humana,Descarrilamento,4.8,10
694,Material Rodante,Descarrilamento,8.2,17
695,Interferência de Terceiro,Abalroamento,1.0,21
696,Via Permanente,Descarrilamento,20.1,9
697,Interferência de Terceiro,Atropelamento,0.9,10
698,Interferência de Terceiro,Abalroamento,1.1,20
699,Interferência de Terceiro,Atropelamento,0.0,20
700,Interferência de Terceiro,Abalroamento,0.2,13
701,Via Permanente,Descarrilamento,17.0,16
702,Material Rodante,Descarrilamento,2.1,3
703,Interferência de Terceiro,Abalroamento,1.2,9
704,Interferência de Terceiro,Abalroamento,0.2,9
705,Interferência de Terceiro,Atropelamento,1.1,18
706,Interferência de Terceiro,Atropelamento,1.9,21
707,Via Permanente,Descarrilamento,12.2,6
708,Interferência de Terceiro,Atropelamento,0.0,5
709,Via Permanente,Descarrilamento,22.0,19
710,Interferência de Terceiro,Abalroamento,0.5,7
711,Material Rodante,Descarrilamento,4.8,23
712,Interferência de Terceiro,Abalroamento,0.0,11
713,Falha Humana,Colisão,0.0,12
714,Interferência de Terceiro,Atropelamento,0.4,16
715,Casos Fortuitos ou de Força Maior,Abalroamento,1.3,20
716,Interferência de Terceiro,Atropelamento,0.0,18
717,Interferência de Terceiro,Abalroamento,1.1,13
718,Via Permanente,Descarrilamento,18.6,1
719,Interferência de Terceiro,Abalroamento,0.2,14
720,Via Permanente,Descarrilamento,7.8,21
721,Via Permanente,Descarrilamento,53.8,10
722,Interferência de Terceiro,Abalroamento,2.5,12
723,Via Permanente,Descarrilamento,25.0,13
724,Via Permanente,Descarrilamento,11.1,13
725,Via Permanente,Descarrilamento,10.1,17
726,Interferência de Terceiro,Atropelamento,0.0,17
727,Interferência de Terceiro,Atropelamento,1.5,9
728,Interferência de Terceiro,Abalroamento,0.1,10
729,Interferência de Terceiro,Atropelamento,0.0,9
730,Interferência de Terceiro,Atropelamento,0.0,19
731,Interferência de Terceiro,Abalroamento,2.3,20
732,Via Permanente,Descarrilamento,15.0,13
733,Interferência de Terceiro,Atropelamento,3.3,8
734,Interferência de Terceiro,Descarrilamento,21.0,2
735,Interferência de Terceiro,Atropelamento,1.3,6
736,Interferência de Terceiro,Abalroamento,0.7,12
737,Interferência de Terceiro,Atropelamento,2.2,13
738,Interferência de Terceiro,Atropelamento,2.5,19
739,Interferência de Terceiro,Atropelamento,0.0,7
740,Interferência de Terceiro,Atropelamento,0.0,10
741,Interferência de Terceiro,Atropelamento,0.0,21
742,Casos Fortuitos ou de Força Maior,Descarrilamento,25.0,5
743,Via Permanente,Descarrilamento,6.9,15
744,Interferência de Terceiro,Abalroamento,0.0,7
745,Interferência de Terceiro,Abalroamento,1.1,6
746,Interferência de Terceiro,Atropelamento,2.4,7
747,Material Rodante,Descarrilamento,3.0,11
748,Interferência de Terceiro,Abalroamento,0.3,6
749,Interferência de Terceiro,Atropelamento,0.0,6
750,Via Permanente,Descarrilamento,24.0,11
751,Interferência de Terceiro,Abalroamento,1.5,11
752,Interferência de Terceiro,Atropelamento,2.2,17
753,Interferência de Terceiro,Abalroamento,2.0,20
754,Interferência de Terceiro,Abalroamento,1.1,7
755,Interferência de Terceiro,Atropelamento,0.0,16
756,Interferência de Terceiro,Abalroamento,0.5,11
757,Interferência de Terceiro,Atropelamento,1.0,21
758,Interferência de Terceiro,Atropelamento,3.5,17
759,Interferência de Terceiro,Abalroamento,0.3,3
760,Interferência de Terceiro,Atropelamento,1.1,5
761,Interferência de Terceiro,Abalroamento,3.3,7
762,Via Permanente,Descarrilamento,8.1,10
763,Interferência de Terceiro,Abalroamento,1.1,5
764,Interferência de Terceiro,Atropelamento,2.9,19
765,Material Rodante,Descarrilamento,24.0,8
766,Interferência de Terceiro,Abalroamento,0.2,19
767,Interferência de Terceiro,Abalroamento,0.6,22
768,Via Permanente,Descarrilamento,0.0,13
769,Interferência de Terceiro,Abalroamento,2.1,9
770,Interferência de Terceiro,Atropelamento,2.3,11
771,Material Rodante,Descarrilamento,4.5,8
772,Material Rodante,Descarrilamento,26.0,4
773,Interferência de Terceiro,Abalroamento,3.0,4
774,Interferência de Terceiro,Abalroamento,0.2,16
775,Interferência de Terceiro,Abalroamento,0.0,22
776,Interferência de Terceiro,Abalroamento,0.0,8
777,Interferência de Terceiro,Atropelamento,3.4,7
778,Interferência de Terceiro,Abalroamento,0.5,8
779,Falha Humana,Descarrilamento,12.0,0
780,Via Permanente,Descarrilamento,28.0,15
781,Via Permanente,Descarrilamento,13.5,5
782,Interferência de Terceiro,Abalroamento,0.2,21
783,Falha Humana,Descarrilamento,36.9,15
784,Interferência de Terceiro,Atropelamento,0.0,20
785,Interferência de Terceiro,Abalroamento,0.0,7
786,Interferência de Terceiro,Atropelamento,0.0,9
787,Interferência de Terceiro,Abalroamento,0.1,18
788,Interferência de Terceiro,Atropelamento,0.0,18
789,Via Permanente,Descarrilamento,0.0,3
790,Via Permanente,Descarrilamento,16.7,13
791,Via Permanente,Descarrilamento,23.7,4
792,Interferência de Terceiro,Abalroamento,1.2,11
793,Via Permanente,Descarrilamento,12.8,14
794,Via Permanente,Descarrilamento,14.9,4
795,Via Permanente,Colisão,25.0,4
796,Interferência de Terceiro,Abalroamento,0.8,8
797,Interferência de Terceiro,Atropelamento,3.0,12
798,Interferência de Terceiro,Abalroamento,2.0,17
799,Interferência de Terceiro,Abalroamento,0.8,8
800,Material Rodante,Descarrilamento,2.8,10
801,Via Permanente,Descarrilamento,12.2,10
802,Casos Fortuitos ou de Força Maior,Colisão,0.0,19
803,Interferência de Terceiro,Atropelamento,3.1,20
804,Interferência de Terceiro,Atropelamento,0.0,0
805,Material Rodante,Descarrilamento,25.2,8
806,Material Rodante,Descarrilamento,4.3,7
807,Interferência de Terceiro,Abalroamento,1.2,14
808,Interferência de Terceiro,Abalroamento,0.4,12
809,Interferência de Terceiro,Abalroamento,0.7,7
810,Falha Humana,Atropelamento,0.0,19
811,Via Permanente,Descarrilamento,55.0,11
812,Interferência de Terceiro,Abalroamento,1.0,18
813,Interferência de Terceiro,Abalroamento,0.0,23
814,Interferência de Terceiro,Atropelamento,2.0,21
815,Interferência de Terceiro,Atropelamento,0.0,9
816,Via Permanente,Descarrilamento,16.4,14
817,Interferência de Terceiro,Atropelamento,0.0,18
818,Interferência de Terceiro,Abalroamento,0.3,5
819,Interferência de Terceiro,Atropelamento,1.8,17
820,Interferência de Terceiro,Abalroamento,0.5,19
821,Interferência de Terceiro,Atropelamento,0.0,21
822,Material Rodante,Descarrilamento,20.1,15
823,Interferência de Terceiro,Atropelamento,3.4,20
824,Interferência de Terceiro,Abalroamento,1.3,21
825,Interferência de Terceiro,Abalroamento,1.0,10
826,Interferência de Terceiro,Atropelamento,0.8,10
827,Material Rodante,Descarrilamento,9.0,23
828,Interferência de Terceiro,Atropelamento,0.0,2
829,Interferência de Terceiro,Abalroamento,0.0,11
830,Via Permanente,Descarrilamento,12.9,12
831,Interferência de Terceiro,Atropelamento,0.0,18
832,Interferência de Terceiro,Abalroamento,0.1,0
833,Interferência de Terceiro,Abalroamento,1.1,11
834,Interferência de Terceiro,Descarrilamento,2.3,15
835,Interferência de Terceiro,Atropelamento,0.0,20
836,Material Rodante,Descarrilamento,2.0,19
837,Interferência de Terceiro,Abalroamento,2.8,14
838,Interferência de Terceiro,Atropelamento,0.0,22
839,Interferência de Terceiro,Abalroamento,0.7,11
840,Interferência de Terceiro,Abalroamento,0.8,17
841,Interferência de Terceiro,Abalroamento,0.9,20
842,Via Permanente,Descarrilamento,9.7,5
843,Via Permanente,Descarrilamento,26.0,10
844,Via Permanente,Descarrilamento,31.6,14
845,Interferência de Terceiro,Abalroamento,7.2,12
846,Via Permanente,Descarrilamento,12.5,16
847,Interferência de Terceiro,Atropelamento,0.3,18
848,Via Permanente,Descarrilamento,9.3,21
849,Interferência de Terceiro,Atropelamento,1.3,1
850,Interferência de Terceiro,Abalroamento,0.8,1
851,Interferência de Terceiro,Atropelamento,0.0,2
852,Casos Fortuitos ou de Força Maior,Descarrilamento,38.2,9
853,Interferência de Terceiro,Atropelamento,0.0,11
854,Interferência de Terceiro,Abalroamento,1.0,7
855,Interferência de Terceiro,Atropelamento,7.0,16
856,Interferência de Terceiro,Abalroamento,1.1,20
857,Interferência de Terceiro,Abalroamento,0.2,7
858,Material Rodante,Descarrilamento,0.0,8
859,Interferência de Terceiro,Abalroamento,0.0,11
860,Interferência de Terceiro,Abalroamento,4.8,22
861,Interferência de Terceiro,Atropelamento,2.5,1
862,Interferência de Terceiro,Abalroamento,0.3,18
863,Via Permanente,Descarrilamento,13.6,11
864,Interferência de Terceiro,Atropelamento,0.0,11
865,Interferência de Terceiro,Abalroamento,0.0,19
866,Material Rodante,Descarrilamento,11.2,14
867,Via Permanente,Descarrilamento,30.1,14
868,Interferência de Terceiro,Abalroamento,1.5,9
869,Interferência de Terceiro,Abalroamento,0.8,16
870,Interferência de Terceiro,Abalroamento,0.9,11
871,Interferência de Terceiro,Atropelamento,0.0,18
872,Via Permanente,Descarrilamento,12.2,18
873,Via Permanente,Descarrilamento,13.0,9
874,Interferência de Terceiro,Abalroamento,1.0,9
875,Material Rodante,Descarrilamento,10.5,10
876,Via Permanente,Descarrilamento,23.5,19
877,Interferência de Terceiro,Abalroamento,0.6,2
878,Interferência de Terceiro,Atropelamento,0.0,15
879,Interferência de Terceiro,Atropelamento,0.0,18
880,Via Permanente,Descarrilamento,3.0,3
881,Interferência de Terceiro,Atropelamento,1.1,6
882,Interferência de Terceiro,Abalroamento,1.4,18
883,Interferência de Terceiro,Atropelamento,0.1,12
884,Interferência de Terceiro,Abalroamento,0.2,10
885,Via Permanente,Descarrilamento,3.0,0
886,Interferência de Terceiro,Abalroamento,0.0,8
887,Interferência de Terceiro,Abalroamento,5.2,1
888,Interferência de Terceiro,Atropelamento,1.5,3
889,Interferência de Terceiro,Atropelamento,0.0,10
890,Via Permanente,Descarrilamento,14.5,15
891,Via Permanente,Descarrilamento,14.8,5
892,Interferência de Terceiro,Atropelamento,1.5,8
893,Via Permanente,Descarrilamento,6.5,9
894,Via Permanente,Descarrilamento,0.0,9
895,Interferência de Terceiro,Atropelamento,2.4,12
896,Interferência de Terceiro,Abalroamento,0.0,4
897,Interferência de Terceiro,Abalroamento,0.3,16
898,Interferência de Terceiro,Abalroamento,0.3,23
899,Interferência de Terceiro,Abalroamento,0.0,15
900,Interferência de Terceiro,Abalroamento,0.0,10
901,Interferência de Terceiro,Abalroamento,0.0,11
902,Material Rodante,Descarrilamento,6.0,14
903,Material Rodante,Descarrilamento,0.0,0
904,Material Rodante,Descarrilamento,8.0,7
905,Interferência de Terceiro,Abalroamento,0.0,11
906,Interferência de Terceiro,Abalroamento,1.5,16
907,Interferência de Terceiro,Abalroamento,0.0,1
908,Interferência de Terceiro,Atropelamento,0.0,11
909,Interferência de Terceiro,Abalroamento,1.6,11
910,Via Permanente,Descarrilamento,18.3,14
911,Interferência de Terceiro,Abalroamento,0.2,18
912,Via Permanente,Descarrilamento,35.9,12
913,Via Permanente,Descarrilamento,0.0,12
914,Interferência de Terceiro,Abalroamento,1.9,23
915,Interferência de Terceiro,Abalroamento,0.1,15
916,Interferência de Terceiro,Atropelamento,0.0,21
917,Interferência de Terceiro,Abalroamento,0.0,18
918,Interferência de Terceiro,Atropelamento,0.2,2
919,Interferência de Terceiro,Abalroamento,0.0,12
920,Interferência de Terceiro,Abalroamento,1.5,0
921,Interferência de Terceiro,Atropelamento,1.4,1
922,Via Permanente,Descarrilamento,28.2,2
923,Interferência de Terceiro,Abalroamento,2.2,4
924,Interferência de Terceiro,Abalroamento,1.5,8
925,Material Rodante,Descarrilamento,0.0,14
926,Interferência de Terceiro,Atropelamento,0.6,3
927,Interferência de Terceiro,Incêndio,0.0,5
928,Material Rodante,Descarrilamento,1.4,5
929,Via Permanente,Descarrilamento,11.0,6
930,Interferência de Terceiro,Abalroamento,0.5,7
931,Interferência de Terceiro,Descarrilamento,7.2,8
932,Interferência de Terceiro,Atropelamento,0.0,17
933,Interferência de Terceiro,Abalroamento,1.1,20
934,Via Permanente,Descarrilamento,0.0,6
935,Interferência de Terceiro,Atropelamento,0.0,19
936,Interferência de Terceiro,Abalroamento,3.2,21
937,Interferência de Terceiro,Abalroamento,2.1,5
938,Interferência de Terceiro,Abalroamento,1.0,5
939,Via Permanente,Descarrilamento,3.0,2
940,Interferência de Terceiro,Abalroamento,0.6,9
941,Interferência de Terceiro,Abalroamento,1.0,12
942,Via Permanente,Descarrilamento,16.0,13
943,Via Permanente,Descarrilamento,32.2,17
944,Via Permanente,Descarrilamento,11.2,13
945,Interferência de Terceiro,Abalroamento,0.0,18
946,Interferência de Terceiro,Atropelamento,0.0,8
947,Casos Fortuitos ou de Força Maior,Atropelamento,0.0,15
948,Interferência de Terceiro,Abalroamento,1.3,4
949,Interferência de Terceiro,Abalroamento,0.3,14
950,Material Rodante,Descarrilamento,7.0,0
951,Via Permanente,Descarrilamento,32.5,7
952,Interferência de Terceiro,Atropelamento,1.6,8
953,Interferência de Terceiro,Abalroamento,3.1,15
954,Interferência de Terceiro,Abalroamento,11.0,9
955,Interferência de Terceiro,Atropelamento,1.0,13
956,Interferência de Terceiro,Atropelamento,1.2,3
957,Interferência de Terceiro,Atropelamento,0.0,12
958,Interferência de Terceiro,Abalroamento,0.0,8
959,Interferência de Terceiro,Abalroamento,2.0,14
960,Interferência de Terceiro,Abalroamento,0.9,15
961,Interferência de Terceiro,Atropelamento,1.5,13
962,Interferência de Terceiro,Abalroamento,3.7,21
963,Casos Fortuitos ou de Força Maior,Descarrilamento,14.6,4
964,Interferência de Terceiro,Abalroamento,1.0,5
965,Interferência de Terceiro,Abalroamento,1.1,12
966,Interferência de Terceiro,Abalroamento,4.7,13
967,Material Rodante,Descarrilamento,19.6,1
968,Material Rodante,Descarrilamento,7.5,1
969,Interferência de Terceiro,Atropelamento,0.0,18
970,Interferência de Terceiro,Abalroamento,0.4,21
971,Interferência de Terceiro,Atropelamento,0.0,23
972,Interferência de Terceiro,Atropelamento,2.5,6
973,Via Permanente,Descarrilamento,14.9,9
974,Interferência de Terceiro,Abalroamento,1.2,19
975,Interferência de Terceiro,Abalroamento,4.3,21
976,Interferência de Terceiro,Abalroamento,1.2,7
977,Interferência de Terceiro,Abalroamento,1.2,13
978,Via Permanente,Descarrilamento,6.2,6
979,Interferência de Terceiro,Abalroamento,1.5,2
980,Interferência de Terceiro,Atropelamento,0.2,17
981,Interferência de Terceiro,Abalroamento,0.5,11
982,Interferência de Terceiro,Abalroamento,0.0,17
983,Interferência de Terceiro,Abalroamento,0.2,18
984,Via Permanente,Descarrilamento,23.0,16
985,Via Permanente,Descarrilamento,9.3,23
986,Interferência de Terceiro,Atropelamento,1.3,0
987,Interferência de Terceiro,Atropelamento,1.8,21
988,Interferência de Terceiro,Atropelamento,2.0,9
989,Material Rodante,Descarrilamento,32.0,10
990,Via Permanente,Abalroamento,2.8,0
991,Interferência de Terceiro,Abalroamento,1.0,15
992,Material Rodante,Incêndio,0.0,19
993,Interferência de Terceiro,Atropelamento,3.3,14
994,Material Rodante,Descarrilamento,5.0,21
995,Via Permanente,Descarrilamento,8.4,4
996,Via Permanente,Descarrilamento,8.1,5
997,Material Rodante,Descarrilamento,6.0,7
998,Interferência de Terceiro,Abalroamento,4.0,9
999,Via Permanente,Descarrilamento,14.5,11
1000,Interferência de Terceiro,Abalroamento,0.0,13
1001,Interferência de Terceiro,Atropelamento,3.9,18
1002,Interferência de Terceiro,Atropelamento,0.0,20
1003,Interferência de Terceiro,Abalroamento,1.1,17
1004,Interferência de Terceiro,Atropelamento,0.0,19
1005,Interferência de Terceiro,Abalroamento,0.2,22
1006,Interferência de Terceiro,Atropelamento,0.0,7
1007,Interferência de Terceiro,Abalroamento,0.8,12
1008,Interferência de Terceiro,Atropelamento,5.0,15
1009,Material Rodante,Incêndio,5.4,10
1010,Via Permanente,Descarrilamento,20.0,12
1011,Interferência de Terceiro,Abalroamento,4.3,21
1012,Interferência de Terceiro,Abalroamento,2.0,21
1013,Interferência de Terceiro,Atropelamento,0.1,12
1014,Via Permanente,Descarrilamento,3.1,14
1015,Interferência de Terceiro,Abalroamento,0.3,17
1016,Interferência de Terceiro,Atropelamento,0.5,14
1017,Interferência de Terceiro,Atropelamento,0.0,16
1018,Interferência de Terceiro,Abalroamento,0.0,22
1019,Interferência de Terceiro,Atropelamento,1.0,4
1020,Interferência de Terceiro,Atropelamento,0.0,14
1021,Interferência de Terceiro,Abalroamento,1.0,19
1022,Casos Fortuitos ou de Força Maior,Colisão,0.0,19
1023,Falha Humana,Colisão,0.0,19
1024,Interferência de Terceiro,Abalroamento,1.2,1
1025,Interferência de Terceiro,Atropelamento,6.1,7
1026,Interferência de Terceiro,Atropelamento,0.1,15
1027,Interferência de Terceiro,Abalroamento,0.1,18
1028,Interferência de Terceiro,Abalroamento,0.0,14
1029,Interferência de Terceiro,Abalroamento,1.4,20
1030,Interferência de Terceiro,Atropelamento,0.5,10
1031,Interferência de Terceiro,Atropelamento,1.0,5
1032,Interferência de Terceiro,Atropelamento,1.2,10
1033,Interferência de Terceiro,Atropelamento,0.2,11
1034,Interferência de Terceiro,Atropelamento,2.0,13
1035,Via Permanente,Descarrilamento,75.2,15
1036,Interferência de Terceiro,Atropelamento,2.0,18
1037,Interferência de Terceiro,Abalroamento,2.9,1
1038,Via Permanente,Descarrilamento,7.9,4
1039,Interferência de Terceiro,Atropelamento,0.4,12
1040,Interferência de Terceiro,Abalroamento,0.2,7
1041,Interferência de Terceiro,Atropelamento,0.5,8
1042,Via Permanente,Descarrilamento,15.2,16
1043,Interferência de Terceiro,Abalroamento,2.5,1
1044,Via Permanente,Descarrilamento,8.3,4
1045,Interferência de Terceiro,Atropelamento,0.0,13
1046,Interferência de Terceiro,Atropelamento,2.6,17
1047,Via Permanente,Descarrilamento,0.0,19
1048,Interferência de Terceiro,Atropelamento,0.0,20
1049,Material Rodante,Descarrilamento,6.0,21
1050,Interferência de Terceiro,Atropelamento,1.5,6
1051,Interferência de Terceiro,Atropelamento,2.9,17
1052,Interferência de Terceiro,Abalroamento,5.0,3
1053,Interferência de Terceiro,Atropelamento,1.2,9
1054,Interferência de Terceiro,Abalroamento,1.9,10
1055,Interferência de Terceiro,Atropelamento,0.0,11
1056,Material Rodante,Descarrilamento,7.2,12
1057,Material Rodante,Descarrilamento,28.0,4
1058,Interferência de Terceiro,Atropelamento,0.0,8
1059,Interferência de Terceiro,Abalroamento,0.0,19
1060,Interferência de Terceiro,Abalroamento,5.9,8
1061,Interferência de Terceiro,Abalroamento,0.3,9
1062,Interferência de Terceiro,Abalroamento,1.6,17
1063,Interferência de Terceiro,Atropelamento,0.0,12
1064,Interferência de Terceiro,Abalroamento,1.0,1
1065,Via Permanente,Descarrilamento,0.0,11
1066,Material Rodante,Descarrilamento,3.1,12
1067,Via Permanente,Descarrilamento,32.5,13
1068,Interferência de Terceiro,Atropelamento,1.2,2
1069,Material Rodante,Descarrilamento,22.0,14
1070,Via Permanente,Descarrilamento,7.5,10
1071,Interferência de Terceiro,Abalroamento,0.0,9
1072,Via Permanente,Descarrilamento,3.7,14
1073,Interferência de Terceiro,Abalroamento,1.1,15
1074,Interferência de Terceiro,Abalroamento,0.0,19
1075,Via Permanente,Descarrilamento,9.1,20
1076,Interferência de Terceiro,Abalroamento,0.5,7
1077,Via Permanente,Descarrilamento,5.9,6
1078,Via Permanente,Descarrilamento,14.7,12
1079,Interferência de Terceiro,Abalroamento,0.2,13
1080,Interferência de Terceiro,Abalroamento,2.0,10
1081,Interferência de Terceiro,Abalroamento,2.1,16
1082,Interferência de Terceiro,Atropelamento,0.0,17
